n_topics,perplexity,log_likelihood,topic_diversity,mean_dominant_topic_weight,score
6,1657.2311865715983,-3050120.6988883098,0.7333333333333333,0.7013010627342932,0.7173171980338132
10,1623.4077817513837,-3041636.068153203,0.7666666666666667,0.6319471860730971,0.6993069263698819
8,1635.1504446615108,-3044601.593642104,0.7416666666666667,0.6493257523683721,0.6954962095175194
12,1605.4559800362938,-3037060.7482015616,0.7277777777777777,0.6020984880110756,0.6649381328944266
15,1608.4302343824886,-3037822.3121993258,0.72,0.5671181654940546,0.6435590827470272
