n_topics,reconstruction_error,topic_diversity,mean_dominant_topic_weight,score
6,69.05247223963772,0.9666666666666667,0.07043313275423584,0.5633615764060729
8,68.84862664539797,0.9166666666666666,0.07527914110229006,0.5380422801626972
12,68.51054779707779,0.8777777777777778,0.08383477785151346,0.5205034278109588
10,68.67783041732638,0.88,0.08020060765406586,0.5200902734443297
15,68.32122548361794,0.8311111111111111,0.0871801698872442,0.496342187560371
20,68.04303813574886,0.8266666666666667,0.08777378095091706,0.4941648680945794
