topic_id,topic_num,top_terms,auto_label_short
nmf_00,0,boticario; presente; natura; perfume; loja; perfumaria; vende; marca; marcas; kit; gosta; dar; presentes; caixa; cliente,boticario / presente / natura / perfume
nmf_01,1,embalagem; parece; produto; atencao; cor; transmite; tecnologia; imagem; diferente; natureza; impressao; passa; chama; refil; chama atencao,embalagem / parece / produto / atencao
nmf_02,2,nome; idade; trabalho; hoje; tempo; casa; natura; lider; avon; pouquinho; mundo; filhos; vida; comecar; pode,nome / idade / trabalho / hoje
nmf_03,3,pele; corpo; negra; pele negra; hidratante; produto; propaganda; hidratacao; uso; creme; oleo; banho; linha; cuidado; usar,pele / corpo / negra / pele negra
nmf_04,4,revista; compra; comprar; site; compro; digital; consultora; espaco; exemplo; pelo; manda; interativa; aplicativo; revista interativa; promocao,revista / compra / comprar / site
nmf_05,5,aproveite; bate papo; papo; conversa; bate; camera; local; conexao; estiver; comecar; estamos; diferentes; basta; microfone; tenha,aproveite / bate papo / papo / conversa
