k,silhouette,stability_ari_mean,inertia_mean,inertia_std,calinski_harabasz,davies_bouldin,score,n_clusters,noise_share,largest_cluster_share
18,0.22727949917316437,0.983439508347377,294.06386108398436,0.015900280257520147,510.38461967476456,1.464600384621516,0.46076703799736896,18,0.0,0.08440514469453377
15,0.23659692704677582,0.9614230338113131,321.1678100585938,0.02454954625242571,537.8244257957477,1.4422571316679107,0.45700016592190496,15,0.0,0.0962620578778135
12,0.2290825992822647,0.9774470358771916,366.634912109375,0.004550841171459542,544.0706800603232,1.492261089549295,0.4557827603294652,12,0.0,0.12319131832797428
20,0.2162674367427826,0.9626231188763074,281.66184692382814,0.03512062599058168,488.1087139350924,1.4617155617385174,0.44808785062552736,20,0.0,0.07777331189710611
10,0.2164750099182129,0.9411171711661763,408.396337890625,0.015977826523151963,540.8229137853899,1.621171479667255,0.4366556415689666,10,0.0,0.11796623794212219
8,0.1903316080570221,0.9892373875831775,464.65870971679686,0.0031481718230500035,525.4230122074257,1.722415206047527,0.4270207755517122,8,0.0,0.2389469453376206
25,0.2039414495229721,0.8304246815339612,260.06695556640625,0.3559998495672208,434.60944996725647,1.5871507212221698,0.3957625772536207,25,0.0,0.07053858520900322
30,0.19382107257843018,0.8011469644390911,245.2582214355469,0.34362953706029997,391.7908966967905,1.6297942793979936,0.3806324486936834,30,0.0,0.06370578778135048
6,0.15620353817939758,0.8053564228414054,534.2443603515625,0.8173359169035005,507.0480911902173,1.8955083801713801,0.3358534142503953,6,0.0,0.31933279742765275
