projeto,n_chunks,n_docs,share_pct
natura_3cs,985,44,19.8
rosacea,539,10,10.8
mercato_brasil,516,9,10.4
compras_digitais,492,15,9.9
3cs_perfumes,485,17,9.7
radiosa,474,8,9.5
gaia_ii,416,8,8.4
anima,406,8,8.2
biome,236,4,4.7
jack_pearson,200,4,4.0
havana_iii,126,2,2.5
bem_maes,101,2,2.0
