solution,k,persona_id,term,score,count,lift,persona_nome_auto
granular_k10,10,granular_k10_p01,pedido,8.531322541986556,321,3.3815389246709087,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,perfume,8.384177648618307,527,2.8090590078093602,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,avo,8.225229662236575,173,3.925021540911805,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,natura,8.190590143491177,1596,2.035741371787427,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,111,8.031428534567508,97,4.764319646865797,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,vendendo,7.868751994688747,121,4.144618369956034,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,pontos,7.750331056582504,141,3.777333135501223,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,kit,7.740942482640509,203,3.286963851995108,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,vendia,7.709706409800314,100,4.314994510102015,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,venda,7.629601864261729,167,3.432677509543059,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,tinha,7.4956861329177515,631,2.1973489641852164,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,treinamento,7.391870055293544,75,4.511519012542305,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,kits,7.285717848669533,119,3.5805706448748458,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,cliente,7.258518774355657,275,2.6380916259781277,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,natura boticario,7.140416795133467,77,4.149746261536555,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,caixa,6.978184391193633,194,2.7560971411207693,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,comissao,6.9742756011270375,54,4.699498971398235,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,essencial,6.950855966512079,95,3.5853131225501764,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,perfumes,6.949413009753186,114,3.3257992720664427,comparadora de marcas + guiada por marca e confiança
granular_k10,10,granular_k10_p01,luna,6.920853307573115,78,3.874021760770023,comparadora de marcas + guiada por marca e confiança
