n_topics,perplexity,log_likelihood,topic_diversity,mean_dominant_topic_weight,perplexity_quality,score
10,2749.961504838613,-4056199.9581432827,0.76,0.6477395055208156,0.9879716679133006,0.7777017439106106
12,2748.492047459028,-4055926.193923379,0.7111111111111111,0.6255910114147964,1.0,0.7534012984396232
15,2787.223596827417,-4063093.5408514626,0.6844444444444444,0.5846955334584515,0.6829605645541523,0.6491613556267739
18,2794.4537282867395,-4064420.4523361307,0.6555555555555556,0.5623073925345559,0.6237778870356112,0.6149742813682195
6,2863.6327325447587,-4076945.708363004,0.7888888888888889,0.7233221387295629,0.057508971582190926,0.5830955470064503
8,2870.6583934655478,-4078200.7782444796,0.725,0.6646085196530283,0.0,0.5226129818785599
