n_topics,reconstruction_error,topic_diversity,mean_dominant_topic_weight,reconstruction_quality,score
18,67.96655109758449,0.8333333333333334,0.5123733988346975,1.0,0.7626640229254775
15,68.14235570031698,0.8311111111111111,0.5331885130684312,0.8162354147790839,0.7231192777131663
12,68.35662245285519,0.8388888888888889,0.5524983498476418,0.5922672120425013,0.6769967810128555
10,68.5102458590728,0.9,0.5842870248202784,0.4316881311480283,0.6724224914741045
8,68.71577025024384,0.95,0.6041481627124541,0.21685812152766148,0.6456663873312743
6,68.92323490323263,0.9444444444444444,0.6379087219285926,0.0,0.6010458304527851
