classe,rank,termo,chi2
rosacea,3,amazonia,71.37
rosacea,4,hialuronico,59.87
rosacea,5,acido hialuronico,59.55
rosacea,6,amiga tempo,59.15
rosacea,7,dessa propaganda,55.97
rosacea,8,tucuma,55.67
rosacea,9,vegano,51.16
rosacea,10,amanha,50.38
rosacea,11,deixasse,46.59
rosacea,12,fosse amiga,45.26
rosacea,13,pele amazonia,41.29
rosacea,14,deixasse amanha,41.1
rosacea,15,produto vegano,39.32
