persona_id,term,score,count,lift
persona_00,pele,7.932810260360242,2350,1.7785452112884232
persona_00,sea,6.947509576297457,1313,1.6313781326628485
persona_00,propaganda,6.904533820133576,909,1.7548666569756566
persona_00,produto,6.863877932466084,2662,1.3875181478581746
persona_00,me,6.846184895025732,4916,1.2375701268759522
persona_00,parece,6.843947520042477,1288,1.6003397359226876
persona_00,natural,6.7261281515036755,873,1.6995033678353504
persona_00,producto,6.723173625967938,675,1.8060113585625035
persona_00,yo,6.625613212513,1470,1.4803569858688446
persona_00,algo,6.597213708792203,1575,1.4498786960091756
persona_00,piel,6.5850868666629605,565,1.8260715776820988
persona_00,pues,6.430008814049245,891,1.5766728848576121
persona_00,mi,6.425028832453528,1243,1.463592980396958
persona_00,siento,6.406324689448358,568,1.7451706127116773
persona_00,tecnologia,6.344187066307941,473,1.8002219537567379
persona_00,tambien,6.304373425418505,853,1.5446440273822735
persona_00,negra,6.255123063408046,391,1.8506239378489926
persona_00,natureza,6.25035340291258,583,1.6677420148100037
persona_01,boticario,10.095964539145973,904,3.4060129363192466
persona_01,perfumaria,8.88318649563818,326,3.637797863048173
persona_01,156,8.65274222040036,230,3.9031165049349155
persona_01,avon,8.64055400784502,461,3.088890214170347
persona_01,133,8.305324980883633,195,3.82369428356382
persona_01,vender,8.22574731240578,395,2.955938245617464
persona_01,loja,8.135666837376716,615,2.5487564062279917
persona_01,lider,8.023733055160056,238,3.32810744705758
persona_01,pedido,8.019553653147842,379,2.8576349365820133
persona_01,natura,7.972390363595367,2025,1.849361271577068
persona_01,vende,7.709608753127188,315,2.8169965589547754
persona_01,perfume,7.694171516036017,608,2.3201115347945027
persona_01,venda,7.688529609312786,216,3.175031860459243
persona_01,caixa,7.670384411697792,284,2.884492407790491
persona_01,fusao,7.460873331958538,153,3.3983418749706553
persona_01,avo,7.3919639041005505,190,3.085253079372709
persona_01,tinha,7.33233702093184,800,1.9942477102936231
persona_01,153,7.320444768658268,106,3.790324234096628
persona_02,compro,8.142111188144574,418,2.8516706834832886
persona_02,vamos dizer,7.614986735762457,243,2.9958497787236764
persona_02,hijos,7.384467210604214,122,3.6391696381405176
persona_02,link,7.234669913383004,164,3.1243602746962496
persona_02,mae,7.209434486016276,393,2.3411904682965434
persona_02,interativa,6.930353400709933,66,4.197837000093222
persona_02,revista,6.776753652746765,314,2.247997913497758
persona_02,revista interativa,6.71421218284055,58,4.189483095615425
persona_02,frete,6.5741724721356425,104,3.1066082276809297
persona_02,comprar,6.567693011410073,568,1.8158947868255015
persona_02,filho,6.546449318808748,169,2.5775214171709595
persona_02,dizer,6.53391789150942,365,2.0251166361372386
persona_02,site,6.511826106543355,217,2.3513597464342317
persona_02,casa,6.49355126088136,396,1.959924727253362
persona_02,manda,6.491354537669442,172,2.524195178342705
persona_02,mercado livre,6.428762747214018,66,3.613328050713153
persona_02,madres,6.405672324492982,50,4.099718027688904
persona_02,maes,6.383492734102947,139,2.639242388118312
