k,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,largest_persona_share,smallest_persona_share,min_cluster_n,selection_score,business_candidate
3,0.10738256709221788,16.570913917231987,2.7368256298510336,0.959415803891622,0.38064516129032255,0.3032258064516129,47,0.13616504120896655,True
4,0.10940122750350409,14.746759995068293,2.5660885544312455,0.8671328636996627,0.3161290322580645,0.13548387096774195,21,0.11541521341449397,True
5,0.11712075325210827,13.517909571209062,2.3916728979184123,0.8369419225740173,0.27741935483870966,0.10967741935483871,17,0.10222901092932879,True
6,0.12791553361632813,12.708337885981523,2.3461966888247683,0.8091443893252279,0.2838709677419355,0.10967741935483871,17,0.09218986529608497,True
7,0.13775448157310885,11.849867421182713,2.2557570489104775,0.8071462887849575,0.2838709677419355,0.05161290322580645,8,0.07553338636568983,False
8,0.14115477601559892,11.234878163874065,2.262833943366386,0.6185937600333385,0.25161290322580643,0.05161290322580645,8,0.05327710494563133,False
9,0.15703059296245506,10.89917475807365,2.025785983724178,0.5974803453234132,0.2709677419354839,0.05161290322580645,8,0.04851951945118971,False
10,0.161286478934197,10.71150792232006,2.035844942367434,0.6578423597846955,0.21935483870967742,0.05161290322580645,8,0.03458626585677012,False
