persona_id,persona_nome_auto,n_entrevistas,projeto_top_value,projeto_top_share,pais_top_value,pais_top_share,marca_foco_top_value,marca_foco_top_share,publico_top_value,publico_top_share,tipo_sessao_top_value,tipo_sessao_top_share,max_metadata_concentration,review_flag
persona_00,Cuidadora Consciente,59,rosacea,0.3898305084745763,nao_inferido,0.4745762711864407,nao_inferido,0.8305084745762712,nao_inferido,1.0,nao_inferido,1.0,1.0,revisar: persona muito concentrada em um metadado
persona_01,Comparadora Omnicanal,47,natura_3cs,0.46808510638297873,nao_inferido,1.0,nao_inferido,0.5319148936170213,nao_inferido,0.6382978723404256,nao_inferido,0.7021276595744681,1.0,revisar: persona muito concentrada em um metadado
persona_02,Compradora Social e Presenteadora,49,natura_3cs,0.46938775510204084,nao_inferido,1.0,nao_inferido,0.5306122448979592,nao_inferido,0.5510204081632653,nao_inferido,0.9183673469387755,1.0,revisar: persona muito concentrada em um metadado
