table_id,table_fq,num_rows,num_bytes,created,modified,schema_names
entrevistas_chunks_v2,kyra-pml-20261.kyra_base_2026_1.entrevistas_chunks_v2,12041,17419281,2026-03-23 00:22:28.058000+00:00,2026-03-23 00:22:28.058000+00:00,"['doc_id', 'chunk_id', 'chunk_index', 'source_filename_hash', 'collection_batch', 'mes', 'ano', 'projeto', 'pais', 'marca_foco', 'publico', 'tipo_sessao', 'canal_origem', 'contexto_origem', 'idioma', 'texto_analise', 'n_caracteres', 'n_palavras', 'pagina_inicial_pdf', 'pagina_final_pdf', 'timestamp_inicial', 'timestamp_final', 'evidencia_citavel', 'status_anonimizacao', 'status_extracao', 'qualidade_texto', 'requires_manual_review', 'tema_gold', 'aspecto_gold', 'polaridade_gold', 'intencao_gold', 'prioridade_gold']"
entrevistas_docs_v2,kyra-pml-20261.kyra_base_2026_1.entrevistas_docs_v2,155,12882793,2026-03-23 00:19:40.709000+00:00,2026-03-23 00:19:40.709000+00:00,"['doc_id', 'source_filename_hash', 'collection_batch', 'mes', 'mes_num', 'ano', 'projeto', 'pais', 'marca_foco', 'publico', 'tipo_sessao', 'canal_origem', 'contexto_origem', 'idioma', 'data_bruta_nome_arquivo', 'hora_bruta_nome_arquivo', 'session_prefix', 'session_num', 'n_paginas_pdf', 'status_anonimizacao', 'status_extracao', 'qualidade_texto_global', 'requires_manual_review', 'texto_analise', 'n_caracteres_total', 'n_palavras_total', 'duracao_aprox_min', 'resumo_executivo_curto', 'evidencia_citavel_doc']"
