base,metrica,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
tokens_chunks,n_chars,12041.0,1187.8614732995597,68.84101703226204,153.0,1015.8,1185.0,1188.0,1193.0,1196.0,1198.0,1199.0,1199.0,1199.0,1199.0
tokens_chunks,n_words,12041.0,161.4981313844365,22.466771713479343,17.0,103.4,124.0,133.0,148.0,165.0,177.0,187.0,192.0,200.0,222.0
tokens_chunks,n_digits,12041.0,62.70808072419234,34.875874944366394,0.0,5.0,13.0,20.0,37.0,58.0,84.0,113.0,129.0,152.60000000000036,203.0
tokens_chunks,n_punct,12041.0,60.44747114027074,14.038174772912452,7.0,28.0,38.0,43.0,51.0,60.0,70.0,79.0,85.0,94.0,120.0
tokens_chunks,n_newlines,12041.0,57.55261190930986,24.859857902112992,5.0,17.0,23.0,26.0,38.0,55.0,75.0,93.0,103.0,118.0,159.0
tokens_chunks,digit_ratio_chars,12041.0,0.05318549923503639,0.03008612556423588,0.0,0.0041946308724832215,0.010869565217391304,0.01670843776106934,0.03096234309623431,0.048494983277591976,0.07184628237259816,0.0960735171261487,0.10934891485809682,0.13115021055176013,0.2222222222222222
tokens_chunks,punct_ratio_chars,12041.0,0.05102184994126066,0.011819000261386601,0.005852842809364548,0.02510460251046025,0.03258145363408521,0.036758563074352546,0.04274937133277452,0.05025125628140704,0.058577405857740586,0.06683375104427736,0.07160909856781802,0.07975037548364218,0.10025062656641603
entrevistas_completas,n_chars,155.0,80953.33548387096,38314.17783619195,1206.0,4530.24,24477.1,31210.2,52177.5,78768.0,114498.5,132793.8,135436.69999999998,145022.94000000003,162745.0
entrevistas_completas,n_words,155.0,10980.161290322581,4882.976272624239,146.0,555.4,3457.9,4234.6,7392.0,10966.0,15449.5,17424.2,18022.6,18965.34,19035.0
entrevistas_completas,n_digits,155.0,4277.6,3182.5314387200565,76.0,315.8,816.1,1091.0,1665.5,3051.0,6470.5,9582.8,10459.699999999999,11433.520000000004,13865.0
entrevistas_completas,n_punct,155.0,4106.2193548387095,2222.0876497113213,70.0,259.1,1203.7,1599.4,2337.5,3637.0,6062.5,7272.6,7960.5999999999985,8878.160000000002,10266.0
entrevistas_completas,n_newlines,155.0,3954.877419354839,2522.3883969635117,84.0,331.26,982.6,1339.0,1897.5,3149.0,5657.5,8108.2,8784.199999999995,9611.160000000002,11552.0
entrevistas_completas,digit_ratio_chars,155.0,0.04837851796554228,0.01764392549826556,0.016028739784858692,0.020254900854645794,0.02586146520251616,0.02786410590440864,0.03572675873118834,0.04697965373436118,0.05632597805877773,0.07559818527060905,0.08076382156030569,0.09024950312511525,0.1124031007751938
entrevistas_completas,punct_ratio_chars,155.0,0.049907707389223566,0.006279915642686751,0.03037623262605686,0.03744304323021156,0.04091837257468001,0.042370282539446774,0.045638253047341995,0.04927885562146025,0.053794059801245325,0.05865636073249407,0.06152993593385777,0.0630630513835815,0.06363049095607236
