doc_id,n_chunks,n_chunks_modeling_pt,n_words_mean,n_words_min,n_words_max,noise_residual_chunks
doc_a998bd9e2abe8bd5,1,0,117.0,117,117,0
doc_a9a088e94903df4b,36,34,272.27777777777777,206,367,0
doc_aac2e8123c96e254,49,0,265.3673469387755,233,341,0
doc_ab0b946958f4f005,28,27,269.0357142857143,219,326,0
doc_ac743f4f09e1e58c,54,53,263.3333333333333,216,315,0
doc_ace5895fe185da65,67,67,267.5970149253731,180,327,0
doc_b53730e47cc798ef,69,69,278.8840579710145,193,329,0
doc_b5d06e16e286306b,32,32,269.0625,194,325,0
doc_b6665005023d6217,55,0,264.1636363636364,235,341,0
doc_b6fd5d628bb2710e,66,65,262.3787878787879,202,312,0
doc_b71f944ee9bec4b0,45,45,270.6666666666667,213,321,0
doc_b99597afcc8d7201,14,14,280.92857142857144,255,368,0
doc_bb533aa1ff54f550,30,30,262.73333333333335,192,330,0
doc_bc29e08f3450ea98,71,71,274.92957746478874,196,380,0
doc_bd7e79d2d8b662f0,54,53,261.48148148148147,189,369,0
doc_c1b714ce1513e838,54,54,262.24074074074076,186,372,0
doc_c3440e03873d8788,63,63,268.55555555555554,197,377,0
doc_c81de68b7ac9189d,57,56,279.7894736842105,143,325,0
doc_c8cb62c97a6b1133,50,50,266.72,198,370,0
doc_c9defe6cce5ff1fd,33,33,275.54545454545456,248,315,0
doc_ca13ed7a8ce3eb34,52,51,263.2692307692308,191,329,0
doc_cc7b48f0bda6f359,46,45,272.54347826086956,192,322,0
doc_cda5ac0ca4bfa447,31,29,269.19354838709677,197,329,0
doc_cfb49b86362bd118,16,16,279.8125,214,391,0
doc_d16712b5a3350889,28,25,271.10714285714283,183,325,0
doc_d26ac17df9e509e7,60,60,263.71666666666664,144,325,0
doc_d2d8ffad5d07749d,66,0,277.6515151515151,227,383,0
doc_d3a4fcca193fb469,39,39,279.28205128205127,245,328,0
doc_d42528cd9f4f9278,60,59,263.45,204,329,0
doc_d52d828ab53d85d0,34,33,260.38235294117646,192,327,0
doc_d61537ccd540a8ec,55,54,278.2909090909091,167,328,0
doc_d64503ab71e69ea1,9,7,283.55555555555554,224,328,0
doc_d7948b6302ad2fee,55,52,262.3090909090909,240,318,0
doc_d9b928d2f9d57ae9,63,62,264.3015873015873,166,328,0
doc_dbba6e8dcfd5390a,46,45,274.3695652173913,186,329,0
doc_de596209415382fe,15,14,268.06666666666666,231,312,0
doc_e5652afcdfc168fe,60,0,273.6,234,330,0
doc_e64af23fbf476840,65,0,278.1384615384615,188,349,0
doc_e668ad5d413dd19f,64,64,269.484375,194,325,0
doc_e6f876a11a7cffdd,50,49,272.18,147,322,0
doc_e88651825b162294,36,35,268.3611111111111,137,326,0
doc_e9d9fb1438841663,12,12,273.5833333333333,230,325,0
doc_eb6a4496f5f5d136,32,31,279.34375,233,328,0
doc_ec00d9b912869528,21,20,272.5238095238095,250,326,0
doc_ecbea0911b71e6fa,53,52,265.8867924528302,122,324,0
doc_ee180b4e719d4d7e,61,59,283.4754098360656,254,301,0
doc_ee8d1372d1a391aa,21,21,267.85714285714283,189,447,0
doc_eeb118edb6d745e0,32,32,277.71875,198,348,0
doc_f17a8b4e6ffe8287,13,13,264.46153846153845,222,313,0
doc_f32e185da3913dd6,14,13,267.2857142857143,242,313,0
doc_f40017cf17c84e54,26,25,267.53846153846155,191,323,0
doc_f497f66116fbe1ab,15,14,284.06666666666666,220,439,0
doc_fbdf5e17373e8de3,31,30,271.0967741935484,238,324,0
doc_fcc334ae6da3d7f2,27,26,266.14814814814815,204,328,0
doc_ff5e78e6e44318bb,18,17,263.0,153,297,0
