doc_id,speaker_id,role_inferido,n_turns,n_words,question_rate,word_share
doc_1cecf4bbb8f06cf1,3,interviewer_heuristic,212,3359,0.8066037735849056,0.34826334888543287
doc_1cecf4bbb8f06cf1,4,interviewer_heuristic,111,3307,0.5045045045045045,0.34287195438050805
doc_1cecf4bbb8f06cf1,5,interviewer_heuristic,116,2651,0.5,0.2748574390876102
doc_1d7aeba5c3deb241,1,participant_or_unknown,98,2637,0.3979591836734694,0.23473384368880185
doc_1d7aeba5c3deb241,2,interviewer_heuristic,124,7000,0.6290322580645161,0.6231084208652306
doc_1d7aeba5c3deb241,3,interviewer_heuristic,72,1597,0.6111111111111112,0.1421577354459676
doc_1e5ee5a39b2288b7,1,interviewer_heuristic,75,1453,0.9066666666666666,0.40757363253856943
doc_1e5ee5a39b2288b7,2,interviewer_heuristic,70,1963,0.5,0.5506311360448808
doc_1e5ee5a39b2288b7,3,interviewer_heuristic,9,149,0.7777777777777778,0.04179523141654979
doc_20c080a645217030,1,interviewer_heuristic,61,2708,0.6557377049180327,0.14848119311327995
doc_20c080a645217030,2,interviewer_heuristic,70,3627,0.6142857142857143,0.19887049018532735
doc_20c080a645217030,3,interviewer_heuristic,215,3827,0.8,0.20983660489088715
doc_20c080a645217030,4,interviewer_heuristic,75,2800,0.64,0.15352560587783748
doc_20c080a645217030,5,interviewer_heuristic,24,857,0.5416666666666666,0.04698980151332383
doc_20c080a645217030,6,interviewer_heuristic,71,3394,0.647887323943662,0.18609496655335014
doc_20c080a645217030,7,participant_or_unknown,33,1025,0.3333333333333333,0.05620133786599408
doc_25b8560e3c990709,1,interviewer_heuristic,255,5916,0.7333333333333333,0.3681623000809011
doc_25b8560e3c990709,2,interviewer_heuristic,44,1756,0.6590909090909091,0.1092787354533574
doc_25b8560e3c990709,3,interviewer_heuristic,33,1368,0.5757575757575758,0.08513286452174995
doc_25b8560e3c990709,4,interviewer_heuristic,32,991,0.46875,0.061671541477378806
doc_25b8560e3c990709,5,participant_or_unknown,48,1120,0.4166666666666667,0.06969942124587715
doc_25b8560e3c990709,6,interviewer_heuristic,52,2036,0.6346153846153846,0.12670359076482668
doc_25b8560e3c990709,7,interviewer_heuristic,52,2629,0.7115384615384616,0.16360694504947415
doc_25b8560e3c990709,8,participant_or_unknown,8,253,0.125,0.01574460140643475
doc_27d3eb4bf6306e35,1,interviewer_heuristic,49,3007,0.7551020408163265,0.7370098039215687
