doc_id,n_words_analysis,projeto,pais,marca_foco,publico,tipo_sessao,canal_origem,idioma_original,persona_nome_auto,mot__preco_valor_promocao_hits,mot__preco_valor_promocao_per_1k,mot__eficacia_resultado_prova_hits,mot__eficacia_resultado_prova_per_1k,mot__sensorial_experiencia_hits,mot__sensorial_experiencia_per_1k,mot__marca_confianca_memoria_hits,mot__marca_confianca_memoria_per_1k,mot__natural_sustentavel_ingredientes_hits,mot__natural_sustentavel_ingredientes_per_1k,mot__presente_status_estetica_hits,mot__presente_status_estetica_per_1k,mot__canal_conveniencia_consultora_hits,mot__canal_conveniencia_consultora_per_1k,mot__indicacao_social_familiar_hits,mot__indicacao_social_familiar_per_1k,bar__preco_alto_sem_valor_hits,bar__preco_alto_sem_valor_per_1k,bar__duvida_eficacia_claim_hits,bar__duvida_eficacia_claim_per_1k,bar__sensorial_negativo_hits,bar__sensorial_negativo_per_1k,bar__canal_friccao_compra_hits,bar__canal_friccao_compra_per_1k,bar__marca_comparacao_desvantagem_hits,bar__marca_comparacao_desvantagem_per_1k,bar__sustentabilidade_ceticismo_hits,bar__sustentabilidade_ceticismo_per_1k,bar__indecisao_excesso_opcoes_hits,bar__indecisao_excesso_opcoes_per_1k,jtbd__presentear_e_demonstrar_cuidado_hits,jtbd__presentear_e_demonstrar_cuidado_per_1k,jtbd__autoestima_e_expressao_identidade_hits,jtbd__autoestima_e_expressao_identidade_per_1k,jtbd__praticidade_rotina_rapida_hits,jtbd__praticidade_rotina_rapida_per_1k,jtbd__eficacia_tratamento_resolver_problema_hits,jtbd__eficacia_tratamento_resolver_problema_per_1k,jtbd__cuidado_familiar_e_social_hits,jtbd__cuidado_familiar_e_social_per_1k,jtbd__economizar_sem_perder_qualidade_hits,jtbd__economizar_sem_perder_qualidade_per_1k,jtbd__experiencia_sensorial_prazer_ritual_hits,jtbd__experiencia_sensorial_prazer_ritual_per_1k,jtbd__pertencimento_recomendacao_comunidade_hits,jtbd__pertencimento_recomendacao_comunidade_per_1k,jtbd__compra_conveniente_e_acesso_hits,jtbd__compra_conveniente_e_acesso_per_1k,motivadores_total_per_1k,barreiras_total_per_1k,saldo_compra_rejeicao,intensidade_tensao,motivador_principal,barreira_principal,jtbd_principal
doc_b53730e47cc798ef,20796,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf,pt,sem_persona_rodar_notebook_04,65,3.1256010771302174,73,3.510290440469321,38,1.8272744758607424,205,9.857664935564532,66,3.1736872475476052,125,6.010771302173495,94,4.5201000192344685,70,3.366031929217157,50,2.404308520869398,12,0.5770340450086555,2,0.09617234083477592,3,0.14425851125216388,3,0.14425851125216388,1,0.04808617041738796,99,4.760530871321408,10,0.4808617041738796,2,0.09617234083477592,27,1.298326601269475,24,1.154068090017311,49,2.35622235045201,18,0.8655510675129833,40,1.9234468166955183,38,1.8272744758607424,54,2.59665320253895,35.39142142719754,8.174648970955953,27.21677245624159,43.5660703981535,marca_confianca_memoria,indecisao_excesso_opcoes,compra_conveniente_e_acesso
doc_9ed820073ce06c76,19282,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf,pt,sem_persona_rodar_notebook_04,41,2.1263354423814955,48,2.4893683227880925,42,2.178197282439581,243,12.602427134114718,143,7.416243128306192,91,4.719427445285759,66,3.422881443833627,66,3.422881443833627,92,4.771289285343844,27,1.400269681568302,5,0.2593092002904263,1,0.05186184005808526,1,0.05186184005808526,1,0.05186184005808526,61,3.163572243543201,10,0.5186184005808526,7,0.3630328804065968,24,1.2446841613940463,39,2.022611762265325,54,2.800539363136604,45,2.3337828026138365,23,1.192822321335961,33,1.7114407219168135,40,2.0744736023234105,38.37776164298309,9.750025930920028,28.62773571206306,48.12778757390312,marca_confianca_memoria,preco_alto_sem_valor,cuidado_familiar_e_social
doc_a11e5233b2bda4e2,16017,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf,pt,sem_persona_rodar_notebook_04,14,0.8740712992445526,68,4.2454891677592554,59,3.683586189673472,183,11.425360554410938,88,5.494162452394331,74,4.620091153149779,76,4.744958481613286,62,3.870887182368733,23,1.4359742773303366,19,1.1862396204033214,7,0.4370356496222763,3,0.1873009926952613,1,0.06243366423175376,1,0.06243366423175376,46,2.871948554660673,5,0.3121683211587688,3,0.1873009926952613,54,3.371417868514703,39,2.434912905038397,50,3.1216832115876882,6,0.3746019853905226,41,2.5597802335019044,18,1.1238059561715676,47,2.9343822188924267,38.95860648061435,6.243366423175376,32.715240057438976,45.20197290378972,marca_confianca_memoria,indecisao_excesso_opcoes,praticidade_rotina_rapida
doc_813751e4679e395b,15177,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf,pt,sem_persona_rodar_notebook_04,2,0.1317783488172893,54,3.5580154180668115,56,3.689793766884101,118,7.774922580220069,70,4.612242208605126,38,2.503788627528497,102,6.720695789681756,40,2.6355669763457863,39,2.5696778019371416,20,1.3177834881728931,12,0.7906700929037359,2,0.1317783488172893,0,0.0,1,0.06588917440864465,43,2.8332344995717205,5,0.3294458720432233,5,0.3294458720432233,28,1.8448968834420505,11,0.7247809184950913,56,3.689793766884101,8,0.5271133952691572,41,2.701456150754431,13,0.8565592673123805,65,4.282796336561903,31.626803716149436,7.709033405811425,23.91777031033801,39.335837121960864,marca_confianca_memoria,indecisao_excesso_opcoes,compra_conveniente_e_acesso
doc_e5652afcdfc168fe,18288,rosacea,argentina,natura,nao_inferido,nao_inferido,pdf,es,sem_persona_rodar_notebook_04,9,0.4921259842519685,84,4.593175853018373,109,5.960192475940508,323,17.66185476815398,123,6.725721784776903,21,1.1482939632545932,22,1.2029746281714786,35,1.9138232720909887,16,0.8748906386701663,11,0.6014873140857393,2,0.10936132983377078,2,0.10936132983377078,3,0.16404199475065617,0,0.0,124,6.7804024496937885,10,0.5468066491688539,2,0.10936132983377078,17,0.9295713035870516,40,2.1872265966754156,14,0.7655293088363955,0,0.0,111,6.069553805774278,22,1.2029746281714786,12,0.6561679790026247,39.6981627296588,8.639545056867892,31.058617672790906,48.33770778652669,marca_confianca_memoria,indecisao_excesso_opcoes,experiencia_sensorial_prazer_ritual
doc_96f34760018e32cc,18004,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido,pdf,es,sem_persona_rodar_notebook_04,7,0.38880248833592534,78,4.332370584314597,72,3.9991113085980894,563,31.27082870473228,194,10.775383248167074,31,1.721839591201955,24,1.3330371028660297,36,1.9995556542990447,30,1.6662963785825373,8,0.44434570095534326,2,0.11108642523883581,2,0.11108642523883581,15,0.8331481892912687,0,0.0,115,6.387469451233059,13,0.7220617640524328,3,0.16662963785825372,14,0.7776049766718507,61,3.3881359697844924,6,0.33325927571650743,0,0.0,83,4.610086647411686,34,1.8884692290602088,9,0.4998889135747612,55.820928682514996,9.55343257053988,46.26749611197512,65.37436125305487,marca_confianca_memoria,indecisao_excesso_opcoes,experiencia_sensorial_prazer_ritual
doc_b6665005023d6217,17462,rosacea,argentina,natura,nao_inferido,nao_inferido,pdf,es,sem_persona_rodar_notebook_04,11,0.629939296758676,74,4.237773450922002,104,5.9557897148093,282,16.1493528805406,152,8.704615737028977,43,2.4624899782384606,11,0.629939296758676,44,2.519757187034704,42,2.4052227694422172,4,0.2290688351849731,16,0.9162753407398924,2,0.11453441759248655,7,0.4008704615737029,3,0.1718016263887298,86,4.924979956476921,23,1.3171458023135951,2,0.11453441759248655,33,1.8898178902760279,58,3.3214981101821097,4,0.2290688351849731,0,0.0,111,6.356660176383003,40,2.290688351849731,5,0.28633604398121637,41.2896575420914,9.162753407398924,32.126904134692474,50.45241094949032,marca_confianca_memoria,indecisao_excesso_opcoes,experiencia_sensorial_prazer_ritual
doc_aac2e8123c96e254,15198,rosacea,argentina,natura,nao_inferido,nao_inferido,pdf,es,sem_persona_rodar_notebook_04,9,0.5921831819976313,75,4.934859849980261,85,5.592841163310962,213,14.01500197394394,130,8.553757073299119,41,2.697723384655876,4,0.26319252533228055,31,2.039742071325174,36,2.3687327279905253,9,0.5921831819976313,0,0.0,0,0.0,6,0.3947887879984208,0,0.0,30,1.9739439399921042,9,0.5921831819976313,8,0.5263850506645611,15,0.9869719699960521,41,2.697723384655876,6,0.3947887879984208,3,0.1973943939992104,91,5.9876299513093825,26,1.7107514146598237,0,0.0,38.689301223845234,5.329648637978682,33.359652585866556,44.01894986182391,marca_confianca_memoria,preco_alto_sem_valor,experiencia_sensorial_prazer_ritual
doc_31b742a33ba14cee,15127,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido,pdf,es,sem_persona_rodar_notebook_04,15,0.991604415944999,68,4.495273352283996,118,7.800621405433993,222,14.675745355985985,150,9.91604415944999,54,3.5697758974019966,5,0.3305348053149997,21,1.3882461823229986,16,1.0577113770079989,6,0.3966417663779996,2,0.13221392212599986,0,0.0,2,0.13221392212599986,0,0.0,53,3.5036689363389963,18,1.1899252991339988,3,0.1983208831889998,15,0.991604415944999,40,2.6442784425199974,6,0.3966417663779996,0,0.0,115,7.602300522244993,18,1.1899252991339988,3,0.1983208831889998,43.16784557413896,5.222449923976995,37.94539565016196,48.390295498115954,marca_confianca_memoria,indecisao_excesso_opcoes,experiencia_sensorial_prazer_ritual
doc_1029b8f4fef9beca,15338,rosacea,argentina,nao_inferido,nao_inferido,nao_inferido,pdf,es,sem_persona_rodar_notebook_04,16,1.043160777154779,42,2.738297040031295,79,5.1506063372017215,189,12.322336680140827,156,10.170817577259095,52,3.3902725257530317,10,0.6519754857217369,48,3.1294823314643367,28,1.8255313600208631,5,0.32598774286086846,2,0.13039509714434738,0,0.0,1,0.06519754857217369,0,0.0,75,4.889816142913027,20,1.3039509714434738,12,0.7823705828660842,17,1.1083583257269527,157,10.236015125831269,5,0.32598774286086846,6,0.3911852914330421,86,5.606989177206937,40,2.6079019428869477,5,0.32598774286086846,38.596948754726824,7.23692789151128,31.360020863215546,45.8338766462381,marca_confianca_memoria,indecisao_excesso_opcoes,eficacia_tratamento_resolver_problema
