tipo,dimensao,media_per_1k,mediana_per_1k,pct_entrevistas_com_mencao,total_hits_norm
motivador,marca_confianca_memoria,11.109148471324504,10.305429019490703,98.70967741935483,1721.9180130552982
motivador,canal_conveniencia_consultora,9.34631420441954,6.720695789681756,100.0,1448.6787016850287
motivador,presente_status_estetica,7.070003547089281,4.719427445285759,98.06451612903226,1095.8505497988385
motivador,eficacia_resultado_prova,4.726976555144229,3.244518729721758,96.7741935483871,732.6813660473555
motivador,sensorial_experiencia,4.283807953141155,3.7834311806914545,98.06451612903226,663.990232736879
motivador,indicacao_social_familiar,3.456889116850762,2.699358902260713,98.70967741935483,535.8178131118681
motivador,natural_sustentavel_ingredientes,2.795964635021238,1.3863507467389249,90.32258064516128,433.3745184282919
motivador,preco_valor_promocao,2.601235055220871,1.563173781802501,95.48387096774194,403.191433559235
barreira,indecisao_excesso_opcoes,2.714689448342181,2.4719841793012525,98.70967741935483,420.77686449303803
barreira,preco_alto_sem_valor,2.270552678932979,1.6815200941651254,94.83870967741936,351.93566523461175
barreira,canal_friccao_compra,0.5319036562345092,0.24455857177794083,74.19354838709677,82.44506671634892
barreira,duvida_eficacia_claim,0.4388429586693564,0.30913493740017517,80.0,68.02065859375024
barreira,sensorial_negativo,0.35595084768393337,0.22038567493112948,77.41935483870968,55.17238139100967
barreira,marca_comparacao_desvantagem,0.23181080493972997,0.09193711501333088,60.64516129032258,35.930674765658146
barreira,sustentabilidade_ceticismo,0.05469944632231364,0.0,38.064516129032256,8.478414179958614
