motivador_principal,canal_friccao_compra,indecisao_excesso_opcoes,marca_comparacao_desvantagem,nao_identificado,preco_alto_sem_valor,sensorial_negativo
canal_conveniencia_consultora,3.8461538461538463,80.76923076923077,0.0,3.8461538461538463,11.538461538461538,0.0
eficacia_resultado_prova,0.0,66.66666666666666,0.0,0.0,28.57142857142857,4.761904761904762
indicacao_social_familiar,0.0,66.66666666666666,0.0,0.0,33.33333333333333,0.0
marca_confianca_memoria,1.5873015873015872,58.730158730158735,3.1746031746031744,0.0,36.507936507936506,0.0
presente_status_estetica,0.0,43.24324324324324,0.0,0.0,56.75675675675676,0.0
sensorial_experiencia,0.0,50.0,0.0,0.0,50.0,0.0
